,nx,ny,J,h,energy,mx,mx_s,mz,max_chi,rel_energy_delta,rel_entropy_delta,mixer,energy_per_site,type
24,4,4,1.0,2.4000000000000004,-41.32765474048431,4.0393551215583254e-16,8.956477642250227e-16,-0.8908871614868004,500,1e-08,1e-05,True,-2.5829784212802696,mps
25,4,4,1.0,2.5,-42.76465479285509,-3.582921753657191e-16,-1.3324611219040355e-15,-0.904840725169995,500,1e-08,1e-05,True,-2.672790924553443,mps
26,4,4,1.0,2.6,-44.221694645339504,2.3982167630605874e-16,-5.451758025242461e-15,-0.9160668597653849,500,1e-08,1e-05,True,-2.763855915333719,mps
27,4,4,1.0,2.7,-45.694975194234424,-3.9928358728134e-16,6.469744892232702e-15,-0.9252364976373006,500,1e-08,1e-05,True,-2.8559359496396515,mps
28,4,4,1.0,2.8000000000000003,-47.181617081816654,-1.0019320996688203e-15,6.325951511264916e-16,-0.9328373155949594,500,1e-08,1e-05,True,-2.948851067613541,mps
29,4,4,1.0,2.9000000000000004,-48.67940843982319,-1.1021541748858727e-15,3.5880614071875846e-15,-0.9392234632906716,500,1e-08,1e-05,True,-3.0424630274889495,mps
30,4,4,1.0,3.0,-50.1866238827777,-2.3007071284914735e-16,4.064040346449293e-15,-0.9446543885463813,500,1e-08,1e-05,True,-3.1366639926736064,mps
31,4,4,1.0,3.1,-51.701896586731195,-6.105792232120706e-17,-1.4944145948092407e-15,-0.9493226993516957,500,1e-08,1e-05,True,-3.2313685366706997,mps
32,4,4,1.0,3.2,-53.2241278019384,1.0516690273186775e-15,1.8035367418188106e-15,-0.953373542152068,500,1e-08,1e-05,True,-3.32650798762115,mps
33,4,4,1.0,3.3000000000000003,-54.7524222720178,5.443510336989795e-16,4.268878948912057e-15,-0.9569179752878781,500,1e-08,1e-05,True,-3.4220263920011127,mps
34,4,4,1.0,3.4000000000000004,-56.28604155175347,-1.1512964971819359e-17,1.8756334839801083e-16,-0.9600422334792915,500,1e-08,1e-05,True,-3.517877596984592,mps
35,4,4,1.0,3.5,-57.82436977640376,-7.536661691623859e-16,1.1382273876519305e-15,-0.9628142080849897,500,1e-08,1e-05,True,-3.614023111025235,mps
36,4,4,1.0,3.6,-59.366888190625176,-4.2640836055460655e-16,3.8042468644900756e-15,-0.9652880369541027,500,1e-08,1e-05,True,-3.7104305119140735,mps
37,4,4,1.0,3.7,-60.91315592163988,-1.796322922730348e-16,5.487225159822483e-17,-0.9675074002706724,500,1e-08,1e-05,True,-3.8070722451024923,mps
38,4,4,1.0,3.8000000000000003,-62.46279526604894,-3.17306911156234e-16,1.3152623087246083e-15,-0.9695079205974177,500,1e-08,1e-05,True,-3.903924704128059,mps
39,4,4,1.0,3.9000000000000004,-64.015480285141,-1.9710478464929505e-17,8.3541965977199695e-16,-0.971318934822752,500,1e-08,1e-05,True,-4.000967517821312,mps
40,4,4,1.0,4.0,-65.57092785839359,-3.507969980255407e-16,1.7800287876906752e-16,-0.972964819815661,500,1e-08,1e-05,True,-4.098182991149599,mps
41,4,4,1.0,4.1000000000000005,-67.12889058718272,-4.397835136718478e-17,2.4318452735833485e-15,-0.9744659967248349,500,1e-08,1e-05,True,-4.19555566169892,mps
42,4,4,1.0,4.2,-68.68915110819351,-7.331229103657566e-16,1.1307326756752902e-15,-0.9758397008628028,500,1e-08,1e-05,True,-4.293071944262095,mps
43,4,4,1.0,4.3,-70.2515174932993,-1.9110497722128024e-16,4.5730670194622155e-16,-0.9771005784508625,500,1e-08,1e-05,True,-4.3907198433312065,mps
44,4,4,1.0,4.4,-71.81581949578704,-2.819434769093157e-17,-5.434142581730109e-16,-0.978261153957514,500,1e-08,1e-05,True,-4.48848871848669,mps
45,4,4,1.0,4.5,-73.38190546250542,6.328165514372293e-16,1.2926798807385393e-16,-0.9793321996263382,500,1e-08,1e-05,True,-4.586369091406588,mps
46,4,4,1.0,4.6000000000000005,-74.94963977485419,6.444410845495524e-17,3.2714027983297785e-15,-0.9803230302895416,500,1e-08,1e-05,True,-4.684352485928387,mps
47,4,4,1.0,4.7,-76.51890071341269,4.1557995928566825e-16,-2.8968238589714947e-15,-0.9812417405405063,500,1e-08,1e-05,True,-4.782431294588293,mps
48,4,4,1.0,4.800000000000001,-78.089578664664,2.3083110939810174e-16,1.9669915668281072e-15,-0.9820953970208813,500,1e-08,1e-05,True,-4.8805986665415,mps
49,4,4,1.0,4.9,-79.66157460605945,-1.2774701516068638e-16,1.5848256180014398e-15,-0.9828901954486918,500,1e-08,1e-05,True,-4.978848412878715,mps
50,4,4,1.0,5.0,-81.23479881913475,-1.365679391098747e-16,-3.457251665697608e-16,-0.9836315897214382,500,1e-08,1e-05,True,-5.077174926195922,mps
