,nx,ny,J,h,energy,mx,mx_s,mz,use_sparse,energy_per_site,type
19,5,5,-1.0,1.9000000000000001,-55.35309792665408,2.2655169897581955e-12,6.139762935169267e-14,-0.7495262036152223,True,-2.2141239170661633,ed
20,5,5,-1.0,2.0,-57.080396182451196,-7.300978288351132e-15,-1.8478430866909364e-16,-0.7874085663358018,True,-2.283215847298048,ed
21,5,5,-1.0,2.1,-58.919783700017085,5.022775097133754e-13,1.2582633148846866e-14,-0.8237317523380647,True,-2.3567913480006832,ed
22,5,5,-1.0,2.2,-60.86912633584734,1.2620500570895105e-14,2.5779242350239027e-16,-0.8558415025664422,True,-2.434765053433894,ed
23,5,5,-1.0,2.3000000000000003,-62.91621587201066,-4.2029927828001715e-14,-9.934797820638914e-16,-0.881748535017847,True,-2.5166486348804264,ed
24,5,5,-1.0,2.4000000000000004,-65.04257623808037,5.782649003688848e-14,1.3910118066145714e-15,-0.901424250119397,True,-2.601703049523215,ed
25,5,5,-1.0,2.5,-67.22988321043711,8.742316940906631e-14,1.9258687474080524e-15,-0.9161181862268036,True,-2.6891953284174845,ed
26,5,5,-1.0,2.6,-69.46342435914856,2.4989349373952247e-15,6.046400130306043e-17,-0.927238661869517,True,-2.7785369743659425,ed
27,5,5,-1.0,2.7,-71.73243459701287,-1.256458403139244e-15,-9.615423192353675e-18,-0.935874459170703,True,-2.869297383880515,ed
28,5,5,-1.0,2.8000000000000003,-74.02923998021033,6.50983949479009e-14,1.233720031724268e-15,-0.9427667362388386,True,-2.9611695992084135,ed
29,5,5,-1.0,2.9000000000000004,-76.34833247704269,-3.538027329868078e-14,-5.151011408915998e-16,-0.9484035951961267,True,-3.0539332990817076,ed
30,5,5,-1.0,3.0,-78.6856768625779,-1.3719811874433045e-14,-3.4077362336381177e-16,-0.9531089374355816,True,-3.147427074503116,ed
31,5,5,-1.0,3.1,-81.03824394507964,1.3314731634934231e-15,-5.726783396322521e-17,-0.9571029765188608,True,-3.241529757803186,ed
32,5,5,-1.0,3.2,-83.4037047414908,4.635887462383515e-15,4.586628697471856e-17,-0.9605399153480676,True,-3.336148189659632,ed
33,5,5,-1.0,3.3000000000000003,-85.78022928576027,6.395930671844323e-16,5.454601130124467e-17,-0.9635309666775556,True,-3.4312091714304107,ed
34,5,5,-1.0,3.4000000000000004,-88.16635196385047,7.685633725579274e-16,-5.4924558774091423e-17,-0.9661585532862895,True,-3.526654078554019,ed
35,5,5,-1.0,3.5,-90.56087934621655,-9.243896712005969e-16,-1.604317367219955e-16,-0.9684852581868146,True,-3.622435173848662,ed
36,5,5,-1.0,3.6,-92.96282561204072,5.271913718114135e-16,1.0744416344856683e-16,-0.9705596152560834,True,-3.718513024481629,ed
37,5,5,-1.0,3.7,-95.37136626583994,3.965942421183144e-15,1.453766676450339e-16,-0.9724199586192839,True,-3.8148546506335976,ed
38,5,5,-1.0,3.8000000000000003,-97.78580425406908,-2.5684637350766308e-15,-4.693217563177437e-17,-0.9740970497027015,True,-3.911432170162763,ed
39,5,5,-1.0,3.9000000000000004,-100.20554467396549,3.387072258241141e-15,-2.3872764163469597e-16,-0.9756159147347505,True,-4.00822178695862,ed
40,5,5,-1.0,4.0,-102.63007556170551,-1.8464129572749933e-16,1.840789730995465e-17,-0.9769971593239748,True,-4.1052030224682206,ed
41,5,5,-1.0,4.1000000000000005,-105.05895306627217,1.752221172595535e-15,1.5872608053655443e-17,-0.9782579283753217,True,-4.202358122650887,ed
42,5,5,-1.0,4.2,-107.49178984433436,3.8043207815272845e-15,2.830981814618399e-16,-0.979412620077631,True,-4.2996715937733745,ed
43,5,5,-1.0,4.3,-109.92824585974988,1.1225874892191175e-16,3.672403100020029e-18,-0.98047342584293,True,-4.397129834389995,ed
44,5,5,-1.0,4.4,-112.36802100518926,1.7844471842851e-16,-7.916615302868568e-17,-0.9814507447459718,True,-4.49472084020757,ed
45,5,5,-1.0,4.5,-114.810849123339,-4.308293171051383e-16,-9.868044138724035e-17,-0.9823535059162336,True,-4.5924339649335595,ed
46,5,5,-1.0,4.6000000000000005,-117.25649311651283,-4.97617147416034e-16,2.8257640781741234e-17,-0.9831894223636469,True,-4.690259724660513,ed
47,5,5,-1.0,4.7,-119.70474091225606,-8.848395777216852e-17,2.541094937607076e-17,-0.9839651930044816,True,-4.788189636490242,ed
48,5,5,-1.0,4.800000000000001,-122.15540210913876,-3.0013514729982227e-16,-5.908627122116231e-17,-0.9846866650490401,True,-4.88621608436555,ed
49,5,5,-1.0,4.9,-124.60830516814389,5.222803523625898e-16,3.3042779231814703e-17,-0.9853589657009924,True,-4.984332206725756,ed
50,5,5,-1.0,5.0,-127.0632950454878,1.7530251371593316e-16,-1.6889712637292432e-17,-0.9859866098426885,True,-5.0825318018195125,ed
